index,title,temp,time,summary,link
1,,Germany Daily Life,1분전,A blackbird sits between barbed wire on the wall of the prison in Frank …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839940
2,,광명동굴 또 코로나19 직격탄…무기 임시휴장,1분전,[광명=파이낸셜뉴스 강근주 기자] 광명도시공사는 정부가 수도권 방역강화 조치를 무기한 연장하자 이에 발맞춰 5월29일부터 휴장  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004443847
3,,BRITAIN HEALTH CORONAVIRUS,1분전,Retail stores re-open across UK after three months of lockdown A view o …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068265
4,,"한전KDN, 2020년 상반기 신입사원 채용 진행",1분전,지난 13일 진행된 필기시험 현장 사진. 한전KDN 제공 한전KDN(사장 박성철)은 지난 13일 서울 구암중학교에서 상반기 신입 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=082&aid=0001009519
5,,FRANCE POLICE PROTEST,2분전,French police demonstration in Paris French Police officers gather in f …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068264
6,,FRANCE POLICE PROTEST,2분전,French police demonstration in Paris French Police officers gather in f …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068263
7,,USA WASHINGTON WHITE HOUSE KUDLOW,2분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068262
8,,"독일정부, '미국 눈독' 백신업체 큐어백 지분 인수",2분전,독일 정부가 미국 측으로부터의 인수 시도 의혹이 일었던 백신 기업 큐어백의 지분 상당부분을 인수했다. 15일(현지시간) 현지언론 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=022&aid=0003475121
9,,"'올림픽 취소 공약' 야마모토 다로, 도쿄도지사 출마 선언",2분전,배우 출신의 좌파 정치인으로 일본 정계에서 ‘풍운아’로 불리는 야마모토 다로(46) 레이와신센구미 대표가 도쿄올림픽 취소를 내세 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=022&aid=0003475120
10,,Music Americana Awards,3분전,"Brandi Carlile FILE - In this Oct. 25, 2019 file photo, Brandi Carlile  …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839939
11,,USA WASHINGTON WHITE HOUSE KUDLOW,6분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068258
12,,USA WASHINGTON WHITE HOUSE KUDLOW,6분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068257
13,,BRITAIN HEALTH CORONAVIRUS,6분전,Retail stores re-open across UK after three months of lockdown Shoppers …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068256
14,,USA WASHINGTON WHITE HOUSE KUDLOW,6분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068255
15,,베이징 감염 ‘유럽발’ 주장하더니…中 “연어 수입 중단”,6분전,중국의 신종 코로나바이러스 감염증(코로나19)이 수도 베이징의 신파디 농수산물도매시장을 중심으로 다시 번지는 가운데 당국이 유럽 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=005&aid=0001332024
16,,USA WASHINGTON WHITE HOUSE KUDLOW,7분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068254
17,,USA WASHINGTON WHITE HOUSE KUDLOW,7분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068253
18,,USA WASHINGTON WHITE HOUSE KUDLOW,7분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068252
19,,USA WASHINGTON WHITE HOUSE KUDLOW,7분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068251
20,,USA WASHINGTON WHITE HOUSE KUDLOW,7분전,Director of the National Economic Council Larry Kudlow Speaks to the Me …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068250
21,,HUNGARY ECONOMY PANDEMIC CORONAVIRUS COVID19,9분전,Hungarian Prime Minister Viktor Orban visits Audi Hungaria Kft plant Hu …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068240
22,,ITALY SOCCER SUMMER CAMP,9분전,Sports summer camp of USD Baiardo A youngster drops his protective mask …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068239
23,,HUNGARY ECONOMY PANDEMIC CORONAVIRUS COVID19,9분전,Production at Audi Hungaria Kft plant A worker works on the assembly li …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068238
24,,HUNGARY ECONOMY PANDEMIC CORONAVIRUS COVID19,9분전,Production at Audi Hungaria Kft plant Workers work on the assembly line …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068237
25,,HUNGARY ECONOMY PANDEMIC CORONAVIRUS COVID19,9분전,Hungarian Prime Minister Viktor Orban visits Audi Hungaria Kft plant Hu …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068236
26,,"과기부-NIA, '디지털 포용 콘퍼런스' 온라인 생중계",9분전,‘디지털 포용 콘퍼런스’ 포스터. 한국정보화진흥원 제공 과학기술정보통신부와 한국정보화진흥원(NIA)은 16일부터 3주 동안 매주 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=082&aid=0001009518
27,,광주형 일자리 본격 추진…제1호 상생형 지역 일자리 선정,9분전,성윤모 산업통상자원부 장관(왼쪽 여섯 번째)이 15일 오후 세종시 정부세종청사에서 열린 제1차 상생형 지역일자리 심의위원회에서  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=082&aid=0001009517
28,,HUNGARY ECONOMY PANDEMIC CORONAVIRUS COVID19,10분전,Production at Audi Hungaria Kft plant The bodywork of a car is seen on  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008068235
